Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Bede,2022-02-15 19:25:59,00:44:17,,Star Trek: The Next Generation: Season 7: Thine Own Self (Episode 16),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:17,00:44:17,GB (United Kingdom)
Bede,2022-02-15 19:20:14,00:00:18,Autoplayed: user action: None; ,Plot Clip: The Trip,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:20,00:00:20,GB (United Kingdom)
Bede,2022-02-14 19:44:08,00:18:47,,Star Trek: The Next Generation: Season 3: The High Ground (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:29,00:20:29,GB (United Kingdom)
Bede,2022-02-14 18:57:18,00:43:26,,Star Trek: The Next Generation: Season 3: The Hunted (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:46,00:44:46,GB (United Kingdom)
Bede,2022-02-14 18:52:42,00:00:09,,Star Trek: The Next Generation: Season 1: Lonely Among Us (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:09,00:00:09,GB (United Kingdom)
Bede,2022-02-13 22:12:16,00:43:34,,Star Trek: The Next Generation: Season 1: Lonely Among Us (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:58,Not latest view,GB (United Kingdom)
Bede,2022-02-13 22:11:36,00:00:04,Autoplayed: user action: None; ,Star Trek: The Next Generation: Season 1_hook_02_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,GB (United Kingdom)
Bede,2022-02-13 22:11:15,00:00:12,Autoplayed: user action: None; ,Genre Specific Moment Clip: Bigbug,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:12,00:00:12,GB (United Kingdom)
Bede,2022-02-12 22:14:09,00:00:14,Autoplayed: user action: None; ,Scary Stories to Tell in the Dark_hook_04_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:15,00:00:15,GB (United Kingdom)
Bede,2022-02-12 22:13:24,00:00:36,Autoplayed: user action: None; ,Insidious_hook_primary_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:36,00:00:36,GB (United Kingdom)
Bede,2022-02-12 22:12:43,00:00:13,Autoplayed: user action: None; ,Sputnik_hook_03_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:13,00:00:13,GB (United Kingdom)
